joy-beginner-1-a	Booty-ful Beginnings Workout A (Session 1)
joy-beginner-1-b	Booty-ful Beginnings Workout B (Session 1)
joy-beginner-1-c	Booty-ful Beginnings Workout C (Session 1)
joy-beginner-2-a	Booty-ful Beginnings Workout A (Session 2)
joy-beginner-2-b	Booty-ful Beginnings Workout B (Session 2)
joy-beginner-2-c	Booty-ful Beginnings Workout C (Session 2)
joy-beginner-3-a	Booty-ful Beginnings Workout A (Session 3)
joy-beginner-3-b	Booty-ful Beginnings Workout B (Session 3)
joy-beginner-3-c	Booty-ful Beginnings Workout C (Session 3)
