joy-beginner-1-a	Gluteal Goddess Advanced Workout A (Session 1)
joy-beginner-1-b	Gluteal Goddess Advanced Workout B (Session 1)
joy-beginner-1-c	Gluteal Goddess Advanced Workout C (Session 1)
joy-beginner-2-a	Gluteal Goddess Advanced Workout A (Session 2)
joy-beginner-2-b	Gluteal Goddess Advanced (Session 2)
joy-beginner-2-c	Gluteal Goddess Advanced (Session 2)
joy-beginner-3-a	Gluteal Goddess Advanced (Session 3)
joy-beginner-3-b	Gluteal Goddess Advanced (Session 3)
joy-beginner-3-c	Gluteal Goddess Advanced (Session 3)
